text,topic
"Nintendo DS Soars Sales of Nintendos new and controversial, handheld gaming system Nintendo DS are above analysts - and Nintendos -xpectations.",Science and Technology
"Siemens SF65 Mobile Phone Digital Camera Siemens today unveiled the SF65 clamshell style mobile phone with a 1.3 megapixel camera, flash and four times zoom. The swivel style top end has a 16-bit internal colour display with a resolution of 128 x 160 pixels, and on the flip side the camera lens.",Science and Technology
"ISS Crew Told To Ration Food The ISS astronauts consume an average of about 3,000 calories during any given day in space. Under the current plan, Chiao and Sharipov will reduce their daily intake to a maximum of 2,700 calories.",Science and Technology
"Enterprise grid group adds Dell, two others (InfoWorld) InfoWorld - The Enterprise Grid Alliance (EGA) on Nov. 30 plans to announce the addition of Dell, UBS Investment Bank, and value-added reseller Avarsys to its fold.",Science and Technology
"SanDisk pushes faster, bigger flash cards Flash memory company SanDisk is offering a one-two punch with new CF, Memory Stick, and SD cards offering greater speed and capacity.",Science and Technology
Microsoft wins over China public sector China is becoming increasingly alarmed that Microsoft is winning the lion #39;s share of too many government contracts to supply software.,Science and Technology
"That Steve Ballmer Linux memo in full BELOW surely bellow, Ed. is the full text of Microsoft CEO Steve Ballmer #39;s letter to his customers - we #39;re one by the way.",Science and Technology
On-Demand Video Game Services Vary Internet downloads are nothing new when it comes to buying music and software online. So why does video game shopping still mostly involve either shlepping to a store or waiting for the delivery truck after you order online?,Science and Technology
Yahoo to buy Musicmatch Yahoo Inc. is buying online jukebox provider Musicmatch Inc. for \$160 million in a deal designed to broaden the Internet giant #39;s appeal with the growing audience of consumers who buy songs off the Web.,Science and Technology
"What are Blogs, and Why Your Business Should Use One What are Blogs, and Why Your Business Should Use One\\A few weeks ago I was involved in a very strange conversation with some pretty bright people. One publishes a widely circulated industry magazine, another was an industry consultant, and the last was the CEO of a major corporation in the ...",Science and Technology
"Let the Handheld Games Begin Nintendo, Sony ready rival portable gaming devices. Which one will gamers go for?",Science and Technology
