text,topic
"Kerry: Bush failed to level with the U.N. about Iraq (USATODAY.com) USATODAY.com - Democrat John Kerry said Tuesday that President Bush ""didn't talk reality at the United Nations"" and pressed him to answer question about policies that Kerry said have made Iraq a violent mess.",Politics
"Sharon Vows to Expand Gaza Raid, Toll Tops 50  GAZA (Reuters) - Israeli leader Ariel Sharon vowed on  Sunday to widen an offensive into Gaza which has killed over 50  Palestinians until militants stop firing rockets that have  fueled criticism of his plan to quit the occupied strip.",Politics
"'Tough on terror' platform reigns (USATODAY.com) USATODAY.com - One TV ad shows a dark-haired ""terrorist"" scoping out a nuclear power plant through binoculars and taking photos of a passing train. Another shows black smoke pouring from the World Trade Center towers.",Politics
British redeployment in Iraq meets with opposition The British Ministry of Defense confirmed on Sunday that the US has sent a request to the British government for redeployment of the British forces stationed in Iraq because the US troops stationed in Iraq are preparing for new military actions in Fallujah ,Politics
"Fed Is Expected to Boost Rates Again WASHINGTON - Federal Reserve policy-makers are expected to raise short-term interest rates for a third time this year, part of a gradual process to wean the economy from ultralow rates, which are no longer needed as a bracing tonic.    Although private economists have mixed opinions whether the economy still is working through its late-spring blues or has emerged, most believe the economy is in good enough shape for the Fed to boost rates again...",Politics
UN threatens sanctions to stop violence in Sudan The Security Council passed a resolution on Sudan on Saturday holding out the threat of sanctions on the country #39;s leaders and its oil industry if the government fails to curb ethnic violence.,Politics
Ukraine Readies Knife-Edge Poll Amid Demo Threats (Reuters) Reuters - Ukraine prepared Saturday for a knife-edge\presidential election amid threats by the opposition contender\to launch street protests if he is denied the leadership by\cheating.,Politics
"Israeli forces detain senior Hamas militant Israeli forces detained a senior leader of Hamas #39;s military wing in the West Bank today during a night-time raid on his hideout, witnesses said.",Politics
EU Leaders Poised to Offer Entry Talks to Turkey  BRUSSELS (Reuters) - Turkish Prime Minister Tayyip Erdogan  urged the European Union on Thursday to open its doors to  non-Christians after French President Jacques Chirac made a  vibrant appeal to bring Turkey into the EU.,Politics
"As Island Death Toll Rises, Winds Gain in Strength Hurricane Ivan continued on Saturday toward Florida, with the Cayman Islands and Cuba immediately in its sights.",Politics
"Brazil Documents Detail Nazi Mengele's Last Years &lt;p&gt;&lt;/p&gt;&lt;p&gt; SAO PAULO, Brazil (Reuters) - Josef Mengele, the infamousNazi doctor known as the Angel of Death, died in Brazil 25years ago lonely and cash-strapped but apparently unrepentant,according to documents published this week.&lt;/p&gt;",Politics
"Portugal PM, Cabinet Submit Resignations  LISBON (Reuters) - Portugal's prime minister said on  Saturday he and his cabinet had submitted their resignations, a  move that came a day after a snap election was called.",Politics
Southeast Asian Leaders Open ASEAN Summit in Laos Southeast Asian leaders have opened a two-day summit in Laos aimed at creating an economic community in six years and expanding free trade agreements with Asia #39;s largest economies.,Politics
"World's Beer Fans Meet for Annual Munich Binge (Reuters) Reuters - International squads of beer\drinkers, leather-clad Bavarians and devotees of excess young\and old converged in Munich on Saturday for the start of the\planet's biggest beer festival, the Oktoberfest.",Politics
"UK, Germany to Iran: Suspend nuclear program The foreign ministers of Britain and Germany on Tuesday urged Iran to indefinitely suspend its nuclear program and avoid a showdown next month with the UN nuclear agency.",Politics
Transition to electric vehicles ‘won’t happen overnight’ but it needs to start now,Politics
 #39;We guarantee we won #39;t apply death penalty - so let us extradite &lt;b&gt;...&lt;/b&gt; Equatorial Guinea is willing to guarantee that it would not use the death penalty if it were allowed to extradite Sir Mark Thatcher and other British citizens ,Politics
"Hassan Execution Make Relief Work Almost Impossible Says EU The claimed execution of Anglo-Iraqi aid worker Margaret Hassan makes relief efforts almost impossible to carry out in Iraq, the EU said today.",Politics
"Karzai attack underlines Afghan election fears Thousands of kilometers away in Afghanistan itself, security experts, independent analysts and candidates are equally amazed that the polls will go ahead on October 9, in spite of insecurity and few guarantees that the vote will be free and fair.",Politics
Two Black Watch soliders fighting for their lives in Iraq United States troops have stormed key areas of Fallujah just hours after two soldiers of the Black Watch battle group were seriously injured in an attack by a suicide bomber.,Politics
"Iraq PM Asks UN States to Put the War Behind Them (Reuters) Reuters - Iraq's new prime minister, in\his debut appearance before the U.N. General Assembly, appealed\to world governments on Friday to put aside their differences\over the war and help Baghdad rebuild.",Politics
Blair and Chirac to Hold Downing St Talks Tony Blair and Jacques Chirac will hold talks in London tomorrow - with Downing Street insisting their differences over Iraq and the UK-US relationship need not be a barrier to progress on other issues.,Politics
Bush says finding bin Laden is not main aim of war on terror (AFP) AFP - President George W. Bush said that finding Osama bin Laden is not the principle aim of the war on terror.,Politics
"Web Site Shows Two Beheadings in Iraq (AP) AP - A Turkish contractor and an Iraqi Kurdish translator were beheaded on a video posted Monday, and a statement said they had been taken captive by the Ansar al-Sunnah Army  #151; the same group that killed 12 Nepalese hostages.",Politics
"A Beslan mother #39;s impossible choice After more than 24 hours in captivity in Beslan school with her two daughters, Anetta had to make the choice. Terrorists came and said only one woman and only one baby could leave.",Politics
"11 dead in Indonesia earthquake JAKARTA, INDONESIA - An earthquake in Indonesia on Friday has killed at least 11 people and injured about 65 others. The 6.4-magnitude quake occurred at 11:25 am local time near the town of Nabire, in West ",Politics
"Australian Opposition Sticking by Latham Opposition Labor party leader Mark Latham gestures as he concedes defeat of general election Saturday, Oct. 9, 2004 in Sydney. John Howards conservative coalition party the Liberals, won a fourth consecutive term in power.",Politics
Bush Calls for Full UN Oil-For-Food Probe The Bush administration made clear on Thursday it would not take a position on whether UN Secretary General Kofi Annan should resign as it awaited the results of an investigation into the UN oil-for-food scandal.,Politics
"Finnish teenagers come top again in school skills Finland has kept its place at the top of a survey measuring teenagers #39; educational skills, with schools in some Asian countries also among the best performers.",Politics
"Malaysia, New Zealand to study free trade agreement New Zealand and Malaysia have agreed to carry out studies on a possible free trade deal, Trade Negotiations Minister Jim Sutton was quoted Monday as saying in Jakarta.",Politics
Scott Morrison reveals plans to achieve net zero emissions by 2050,Politics
Al-Qaeda #39;s Lebanese chief arrested BEIRUT: Lebanon said Wednesday it had arrested the top Al-Qaeda operative in the country and another man linked to Osama bin Laden #39;s terrorist group who were plotting to blow up the Italian ,Politics
"Sharon: Syria trying to deflect US pressure Prime Minister Ariel Sharon on Wednesday dismissed Syrian moves towards redeployment in Lebanon.  quot;We are not seeing any significant change in the Syrian position, quot; he told Israel Radio.",Politics
"Now EU justice hopeful slams single parents Italy #39;s would-be European Commissioner, Rocco Buttiglione - already notorious for his view that homosexuality is a sin - has caused fresh outrage this weekend by telling a conference in northern Italy that single mothers are  #39;not very good #39;.",Politics
"Pitcairn Mayor 'Led Rape' on Island -Prosecutor  SYDNEY (Reuters) - The trial of seven Pitcairn Island men,  descendants of the 18th century Bounty mutineers, began on  Wednesday with the mayor the first to face charges of rape and  underage sex, Television New Zealand reported.",Politics
"Richemont Sparkle Lifts European Stocks (Reuters) Reuters - Sparkling sales from luxury goods giant\Richemont helped lift European shares on Thursday, quelling\concerns about advertising firm Havas' plans to issue more\shares and the drag effect of a weaker Wall Street..",Politics
"China wants Canada to hand over North Koreans who stormed embassy (Canadian Press) Canadian Press - BEIJING (CP) - China urged the Canadian Embassy on Thursday to hand over 44 possible North Korean asylum-seekers, while officials said nine North Koreans who entered a U.S. school in Shanghai had been handed over to Chinese police.",Politics
"Lost kingdom of Atlantis found in Cyprus A team of American ocean researchers have claimed to have found the lost kingdom of Atlantis off the coast of Cyprus. According to The Telegraph, the researchers led by Robert Sarmast used the latest sonar ",Politics
